Image name,Ground Truth,Local Maxima,Error
001,414,32,92.27053140096618
002,397,29,92.69521410579345
003,356,28,92.13483146067416
004,297,26,91.24579124579124
005,309,25,91.9093851132686
006,348,30,91.37931034482759
007,377,29,92.3076923076923
008,404,30,92.57425742574257
009,317,28,91.16719242902208
010,240,30,87.5
011,436,25,94.26605504587155
012,251,23,90.83665338645417
013,435,27,93.79310344827586
014,378,33,91.26984126984127
015,356,34,90.4494382022472
016,417,23,94.48441247002398
017,231,28,87.87878787878788
018,242,29,88.01652892561982
019,364,19,94.78021978021978
020,389,26,93.31619537275064
021,304,25,91.77631578947368
022,399,35,91.22807017543859
023,265,28,89.43396226415095
024,341,31,90.9090909090909
025,323,29,91.02167182662538
026,344,35,89.82558139534885
027,422,30,92.89099526066352
028,336,33,90.17857142857143
029,306,32,89.54248366013073
030,228,25,89.03508771929825
031,353,23,93.48441926345609
032,357,30,91.59663865546219
033,339,29,91.44542772861357
034,269,28,89.59107806691449
035,370,26,92.97297297297298
036,122,24,80.32786885245902
037,416,28,93.26923076923077
038,380,29,92.36842105263158
039,248,26,89.51612903225806
040,334,21,93.7125748502994
041,365,26,92.87671232876711
042,201,33,83.5820895522388
043,354,32,90.96045197740112
044,278,33,88.12949640287769
045,394,30,92.38578680203045
046,281,27,90.39145907473309
047,284,32,88.73239436619718
048,408,26,93.62745098039215
049,285,25,91.22807017543859
050,415,25,93.97590361445783
051,391,31,92.07161125319693
052,395,26,93.41772151898734
053,366,31,91.53005464480874
054,329,24,92.70516717325228
055,263,22,91.63498098859316
056,356,22,93.82022471910112
057,413,27,93.46246973365618
058,406,17,95.8128078817734
059,312,23,92.62820512820514
060,430,32,92.55813953488372
061,408,22,94.6078431372549
062,407,23,94.34889434889435
063,276,25,90.94202898550725
064,363,30,91.73553719008265
065,382,24,93.717277486911
066,255,26,89.80392156862746
067,209,23,88.99521531100478
068,312,31,90.06410256410257
069,381,26,93.1758530183727
070,357,27,92.43697478991596
071,429,29,93.24009324009323
072,423,26,93.85342789598108
073,316,25,92.08860759493672
074,358,27,92.45810055865921
075,305,27,91.14754098360656
076,326,25,92.33128834355828
077,432,26,93.98148148148148
078,330,26,92.12121212121212
079,361,33,90.85872576177285
080,370,30,91.8918918918919
